Is it possible to get a receipt for my application fee?,"If you paid the fee online, your e-mail confirmation is your receipt. If you paid by check, your cancelled check (or image sent by your bank) is your receipt. We do not send any other acknowledgment of payment. If payment is missing, we will contact you. Important note: Payments are tracked only by Harvard's database. Please disregard any notification of payment status posted on the Common Application, Coalition Application, or Universal College Application website."
How do I pay my application fee?,"The $75 application processing fee can be paid online through the online application system (either the Common Application, the Coalition Application, or the Universal College Application). Please note that the Common Application, Coalition Application, and Universal Application websites are operated independently, and their respective offices are better able to assist you with specific logistical issues you may encounter while submitting the application forms or your fee through their sites. You may also send a check drawn on a US bank in US dollars to: Harvard College Admissions 86 Brattle Street Cambridge, MA 02138 Please be sure to write the name and date of birth of the applicant on the fee. If the application fee presents a hardship for you or your family, the fee will be waived. Do not let the application fee prevent you from applying! There are a few ways to request a fee waiver. You can easily request it within the Common Application, Coalition Application, Universal College Application, or simply email us as fileroom@fas.harvard.edu."
Can transfer students receive an application fee waiver?,"Yes, transfer students can receive an application fee waiver. Do not let the application fee prevent you from applying! In the spirit of our honor code, if the fee presents a hardship for you or your family, the fee will be waived.    There are a few ways to request a fee waiver. You can easily request it within the Common Application, Coalition Application, Universal College Application, or simply email us as fileroom@fas.harvard.edu.   The Common Application and the Coalition Application outline the indicators of economic need as follows, but if you do not meet any of these indicators, but would still like to request a fee waiver, please do not hesitate to email us at fileroom@fas.harvard.edu. You have received a College Board or NACAC fee waiver  You have received or are eligible to receive an ACT or SAT testing fee waiver  You are enrolled in or are eligible to participate in the Federal Free or Reduced Price Lunch program (FRPL)  Your annual family income falls within the Income Eligibility Guidelines set by the USDA Food and Nutrition Service  You are enrolled in a federal, state, or local program that aids students from low-income families (e.g., TRIO programs such as Upward Bound)  Your family receives public assistance  You live in federally subsidized public housing, a foster home, or are homeless  You are a ward of the state or an orphan  You can provide a supporting statement from a school official, college access counselor, financial aid officer, or community leader  This step occurs while creating your application in the Common Application or Coalition Application. Students who qualify will automatically pass the payment screen upon submitting their application. Requesting a fee waiver will not disadvantage you in any way."
Paying the application fee is a hardship for my family. Can I get a waiver?,"Do not let the application fee prevent you from applying! In the spirit of our honor code, if the fee presents a hardship for you or your family, the fee will be waived. There are a few ways to request a fee waiver. You can easily request it within the Common Application, Coalition Application, Universal College Application, or simply email us as fileroom@fas.harvard.edu. The Common Application and the Coalition Application outline the indicators of economic need as follows, but if you do not meet any of these indicators, but would still like to request a fee waiver, please do not hesitate to email us. You have received a College Board or NACAC fee waiver You have received or are eligible to receive an ACT or SAT testing fee waiver You are enrolled in or are eligible to participate in the Federal Free or Reduced Price Lunch program (FRPL) Your annual family income falls within the Income Eligibility Guidelines set by the USDA Food and Nutrition Service You are enrolled in a federal, state, or local program that aids students from low-income families (e.g., TRIO programs such as Upward Bound) Your family receives public assistance You live in federally subsidized public housing, a foster home, or are homeless You are a ward of the state or an orphan You can provide a supporting statement from a school official, college access counselor, financial aid officer, or community leader This step occurs while creating your application in the Common Application, Coalition Application, or Universal College Application. Students who qualify will automatically pass the payment screen upon submitting their application. Requesting a fee waiver will not disadvantage your application in any way."
How important are extracurricular activities in admissions decisions?,"Each case is different. Some students distinguish themselves for admission with their unusual academic promise through experience or achievements in study or research. Other students present compelling cases because they are more "well-rounded," having contributed in many different ways to their schools or communities. Still other successful applicants are "well-lopsided" with demonstrated excellence in one particular endeavor. Some students bring perspectives formed by unusual personal circumstances or experiences. Like many colleges, we seek to admit dynamic, talented, and diverse students who will contribute significantly to the education of their classmates."
Are there secondary school course requirements for admission?,"There is no single academic path we expect all students to follow, but the strongest applicants take the most rigorous secondary school curricula available to them. An ideal four-year preparatory program includes four years of English, with extensive practice in writing; four years of math; four years of science: biology, chemistry, physics, and an advanced course in one of these subjects; three years of history, including American and European history; and four years of one foreign language."
"Will it help me to take advanced, accelerated or honors courses?","Yes. Although schools provide different opportunities, students should pursue the most demanding college-preparatory program available, consistent with each student's readiness for particular fields of study. Counselors can offer helpful advice as students choose their courses."
Do I need certain grades or marks to be considered for admission?,"We recognize that schools vary by size, academic program, and grading policies, so we do not have rigid grade requirements. There is no single academic path we expect all students to follow, but the strongest applicants take the most rigorous secondary school curricula available to them. We do seek students who achieve at a high level, and most admitted students rank in the top 10-15% of their graduating classes."
Are my chances of admission enhanced if a relative has attended Harvard?,"The application process is the same for all candidates. Among a group of similarly distinguished applicants, the daughters and sons of Harvard College alumni/ae may receive an additional look."
"If my curriculum requires more than the 12-year U.S. curriculum, may I apply after my twelfth year?","We strongly recommend you to complete whichever curriculum you have been following. Applicants who have completed only a year of GCE A-levels or International Baccalaureate study, for instance, are at a tremendous disadvantage in our applicant pool."
Can I fulfill academic requirements with previous coursework?,"You cannot receive credit for coursework completed before matriculation, but Harvard offers an Advanced Standing Program to entering students who meet certain standards on the College Board Advanced Placement (AP) examinations or who have earned the full International Baccalaureate Diploma with a grade of 7 on at least three Higher Level examinations. Admitted students with strong results on internationally recognized examinations, such as the GCE A-levels, Abitur, or French Baccalaureate, may submit their credentials to the Advanced Standing adviser for individual evaluation upon matriculation. Visit the Advising Programs Office website for more information about Advanced Standing."
I was deferred. Is there really any chance that I still can be admitted?,"It is impossible to predict individual admission decisions. Past students whose applications were deferred have been admitted at various rates, often approximating the rate for Regular Decision candidates. Over the next few months, your application will be reviewed again, supplying another opportunity for eventual admission."
I was deferred. What can I do to improve my chances of admission?,"Further updates may enhance your prospects, although in most cases, the essential details already are on file with the Admissions Committee. Additional information should be limited to significant developments in your high school career."
Do I need to communicate directly with the admissions staff member who read my file about my deferral?,"Despite what you may hear or read elsewhere, no; this is wholly unnecessary. Our decisions are made by a committee of admission officers, including faculty members, no single one of whom is responsible for shaping the outcome of deliberations."
